23105	10001	10080
23105	10001	10082
23105	10001	10150
23105	10001	10187
23105	10001	10011
20001	10001	10112
20001	10001	10119
20001	10001	10121
20001	10001	10146
20001	10001	10019
20001	10001	10148
20001	10001	10156
20001	10001	10157
20001	10001	10034
20001	10001	10162
20001	10001	10036
20001	10001	10038
20001	10001	10169
20001	10001	10044
20001	10001	10049
20001	10001	10051
20001	10001	10182
20001	10001	10056
20001	10001	10065
20001	10001	10198
20001	10001	10075
21028	10001	10018
21028	10001	10146
21028	10001	10178
21028	10001	10053
21028	10001	10184
21028	10001	10034
21028	10001	10010
21028	10001	10044
21028	10001	10175
21029	10001	10178
21029	10001	10053
21029	10001	10186
21029	10001	10190
21287	10001	10148
21287	10001	10184
21287	10001	10029
21287	10001	10125
21287	10001	10130
21287	10001	10101
21287	10001	10040
21287	10001	10105
21287	10001	10013
21193	10001	10017
21193	10001	10081
21193	10001	10019
21193	10001	10180
21193	10001	10053
21193	10001	10054
21193	10001	10150
21193	10001	10024
21193	10001	10089
21193	10001	10058
21193	10001	10120
21193	10001	10095
21193	10001	10033
21193	10001	10002
21193	10001	10166
21193	10001	10107
21193	10001	10175
21961	10001	10144
21961	10001	10019
21961	10001	10181
21961	10001	10150
21961	10001	10088
21961	10001	10123
21961	10001	10066
21961	10001	10195
21961	10001	10073
21961	10001	10010
21961	10001	10169
21035	10001	10146
21035	10001	10178
21035	10001	10150
21035	10001	10092
21035	10001	10033
21035	10001	10006
21035	10001	10010
21035	10001	10078
21035	10001	10175
21836	10001	10136
21836	10001	10053
22028	10001	10115
22028	10001	10118
22028	10001	10123
22028	10001	10127
22028	10001	10129
22028	10001	10130
22028	10001	10004
22028	10001	10134
22028	10001	10007
22028	10001	10008
22028	10001	10137
22028	10001	10139
22028	10001	10017
22028	10001	10018
22028	10001	10147
22028	10001	10148
22028	10001	10150
22028	10001	10024
22028	10001	10025
22028	10001	10157
22028	10001	10161
22028	10001	10162
22028	10001	10173
22028	10001	10052
22028	10001	10053
22028	10001	10182
22028	10001	10056
22028	10001	10185
22028	10001	10058
22028	10001	10186
22028	10001	10189
22028	10001	10064
22028	10001	10065
22028	10001	10066
22028	10001	10199
22028	10001	10073
22028	10001	10081
22028	10001	10088
22028	10001	10093
22028	10001	10098
22028	10001	10103
22028	10001	10105
22028	10001	10106
20527	10001	10113
20527	10001	10123
20527	10001	10127
20527	10001	10133
20527	10001	10013
20527	10001	10144
20527	10001	10018
20527	10001	10148
20527	10001	10149
20527	10001	10024
20527	10001	10028
20527	10001	10156
20527	10001	10157
20527	10001	10161
20527	10001	10036
20527	10001	10170
20527	10001	10171
20527	10001	10044
20527	10001	10173
20527	10001	10047
20527	10001	10048
20527	10001	10049
20527	10001	10175
20527	10001	10181
